Date,Open,High,Low,Close,Adj Close,Volume
2022-02-03,32695.525391,32490.472656,32245.677734,32490.472656,32490.472656,16257683635
2022-02-04,32485.804688,36271.488281,32399.468750,36247.984375,36247.984375,25689419035
2022-02-05,36248.515625,36550.441406,35843.781250,36195.832031,36195.832031,17165326511
2022-02-06,36195.792969,37100.550781,36024.414063,37026.605469,37026.605469,14092260820
2022-02-07,37021.671875,38824.988281,36446.972656,38316.410156,38316.410156,25032982080
2022-02-08,38328.968750,39677.515625,37478.902344,38630.597656,38630.597656,28964685523
2022-02-09,38611.558594,39157.175781,37834.035156,38821.855469,38821.855469,20353471281
2022-02-10,38829.734375,39776.269531,38122.812500,38176.585938,38176.585938,28166430696
2022-02-11,38181.859375,38463.324219,37102.066406,37360.546875,37360.546875,23746750515
2022-02-12,37364.386719,37877.898438,36873.539063,37218.812500,37218.812500,15992873039
2022-02-13,37211.851563,37614.031250,36960.207031,37131.113281,37131.113281,12971654871
2022-02-14,37095.812500,37829.574219,36708.257813,37667.152344,37667.152344,18421695035
2022-02-15,37666.750000,39328.816406,37562.964844,39255.910156,39255.910156,20010215311
2022-02-16,39258.617188,39258.617188,38221.988281,38654.785156,38654.785156,17403191304
2022-02-17,38632.988281,38791.558594,35424.960938,35673.937500,35673.937500,23097378235
2022-02-18,35686.363281,35996.578125,35031.054688,35356.636719,35356.636719,20588144724
2022-02-19,35352.265625,35699.246094,35075.843750,35437.171875,35437.171875,12132567474
2022-02-20,35433.589844,35435.171875,33679.304688,33958.773438,33958.773438,16206118505
2022-02-21,33951.554688,34667.105469,32661.080078,32783.445313,32783.445313,25890903370
2022-02-22,32777.691406,33859.285156,32298.251953,33795.613281,33795.613281,22503160806
2022-02-23,33794.953125,34485.175781,32917.582031,32988.855469,32988.855469,19325527663
2022-02-24,32972.929688,34756.035156,30687.863281,34253.406250,34253.406250,41447823409
2022-02-25,34254.421875,35321.277344,34100.886719,34782.894531,34782.894531,23545866817
2022-02-26,34781.886719,35484.625000,34329.031250,34692.289063,34692.289063,15496410516
2022-02-27,34686.566406,35290.046875,33453.753906,33728.535156,33728.535156,20974356939
2022-02-28,33725.152344,39005.664063,33551.863281,38516.011719,38516.011719,31825285237
2022-03-01,38517.144531,40115.804688,38354.296875,39842.839844,39842.839844,29175246439
2022-03-02,39845.515625,40631.078125,39156.929688,39526.875000,39526.875000,26261591224
2022-03-03,39527.843750,39650.500000,37882.171875,38362.707031,38362.707031,22562810870
2022-03-04,38368.445313,38394.519531,35488.878906,35806.679688,35806.679688,26089308598
2022-03-05,35816.601563,36198.925781,35476.800781,36057.167969,36057.167969,15535392023
2022-03-06,36060.476563,36276.429688,34952.539063,35332.976563,35332.976563,18158720424
2022-03-07,35341.546875,36295.250000,34336.878906,35027.582031,35027.582031,26270330758
2022-03-08,35025.617188,35897.730469,34939.015625,35545.898438,35545.898438,23652979647
2022-03-09,35550.988281,38442.476563,35516.558594,37912.933594,37912.933594,29154369205
2022-03-10,37904.933594,38005.414063,35103.230469,35809.015625,35809.015625,28218727367
2022-03-11,35811.296875,36374.964844,34878.101563,35546.050781,35546.050781,24156936348
2022-03-12,35545.582031,36016.660156,35525.492188,35645.957031,35645.957031,13392381380
2022-03-13,35628.285156,35925.722656,34529.175781,34623.734375,34623.734375,15826202787
2022-03-14,34620.675781,36325.718750,34490.382813,36248.871094,36248.871094,22226440234
2022-03-15,36246.578125,36323.902344,34901.867188,35870.046875,35870.046875,21823596407
2022-03-16,35867.117188,37790.824219,35582.097656,37329.640625,37329.640625,35944190360
2022-03-17,37326.839844,37422.855469,36835.601563,36895.964844,36895.964844,19829990296
2022-03-18,36890.074219,38172.761719,36513.085938,37777.125000,37777.125000,31107938571
2022-03-19,37771.246094,38242.910156,37597.746094,38129.128906,38129.128906,17771796430
2022-03-20,38129.808594,38174.777344,37057.394531,37353.039063,37353.039063,18227385445
2022-03-21,37351.507813,37560.308594,36810.312500,37286.500000,37286.500000,22343528627
2022-03-22,37282.964844,39245.640625,37218.054688,38404.867188,38404.867188,29017210104
2022-03-23,38409.917969,38973.812500,37972.765625,38973.312500,38973.312500,22936192446
2022-03-24,38967.585938,40167.312500,38893.710938,39933.277344,39933.277344,28198864381
2022-03-25,39936.558594,40864.757813,39679.015625,40377.300781,40377.300781,27836474347
2022-03-26,40378.328125,40726.488281,40211.183594,40512.398438,40512.398438,15431254426
2022-03-27,40516.519531,42638.914063,40454.558594,42635.585938,42635.585938,25643813077
2022-03-28,42636.820313,43792.058594,42521.003906,42877.152344,42877.152344,33082380179
2022-03-29,42852.074219,43253.531250,42852.074219,42796.050781,42796.050781,28308216398
2022-03-30,42788.085938,42735.042969,42095.570313,42166.078125,42166.078125,26281869339
2022-03-31,42165.613281,42784.675781,40993.917969,41124.796875,41124.796875,30097132907
2022-04-01,41138.781250,42231.378906,40130.226563,41889.515625,41889.515625,34541009344
2022-04-02,41893.003906,42565.296875,41450.890625,41529.148438,41529.148438,26560971008
2022-04-03,41520.257813,42842.351563,41316.523438,42054.785156,42054.785156,23007857472
2022-04-04,42047.277344,42636.039063,41247.238281,42480.390625,42480.390625,29612277017
2022-04-05,42482.058594,42981.433594,41761.855469,41772.113281,41772.113281,27178655482
2022-04-06,41761.441406,41761.441406,39635.375000,39647.105469,39647.105469,36147931482
2022-04-07,39647.804688,40176.882813,39314.246094,40040.984375,40040.984375,24024282149
2022-04-08,40042.171875,40374.312500,38783.863281,38879.828125,38879.828125,25022739973
2022-04-09,38874.695313,39338.757813,38783.832031,39334.453125,39334.453125,14757288893
2022-04-10,39333.492188,39705.656250,38596.351563,38778.593750,38778.593750,16220173023
2022-04-11,38772.500000,38944.714844,36173.996094,36335.328125,36335.328125,31212598648
2022-04-12,36346.187500,37277.359375,36224.382813,37065.078125,37065.078125,28626539424
2022-04-13,37061.738281,38045.632813,36706.253906,37784.144531,37784.144531,25415782493
2022-04-14,37778.167969,37997.492188,36639.171875,36902.015625,36902.015625,22492983503
2022-04-15,36905.605469,37585.000000,36859.914063,37508.183594,37508.183594,20123068184
2022-04-16,37507.121094,37582.375000,37068.816406,37388.886719,37388.886719,15569098908
2022-04-17,37382.683594,37524.148438,36640.214844,36729.046875,36729.046875,17651670409
2022-04-18,36732.976563,38018.949219,35852.292969,37869.949219,37869.949219,31264556133
2022-04-19,37871.765625,38643.460938,37656.925781,38444.496094,38444.496094,23438663863
2022-04-20,38443.562500,38901.406250,37783.539063,38133.769531,38133.769531,25640595290
2022-04-21,38131.132813,39409.847656,36981.597656,37405.054688,37405.054688,32647596186
2022-04-22,37403.667969,37592.527344,36452.234375,36841.980469,36841.980469,25968766219
2022-04-23,36840.500000,37023.257813,36482.167969,36606.882813,36606.882813,14961043084
2022-04-24,36599.136719,36830.585938,36264.542969,36513.359375,36513.359375,16619008460
2022-04-25,36516.425781,37814.761719,35703.957031,37765.523438,37765.523438,33086569081
2022-04-26,37756.296875,38091.425781,35609.539063,35814.597656,35814.597656,32480596939
2022-04-27,35817.265625,37346.585938,35713.902344,37180.769531,37180.769531,29354356982
