Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,151.820007,154.740005,151.800003,153.720001,149.470078,1046860
2022-01-04,154.320007,156.820007,153.399994,155.419998,151.123077,1007543
2022-01-05,155.080002,157.960007,155.080002,157.960007,153.592850,1177455
2022-01-06,155.399994,155.940002,153.619995,154.160004,149.897919,1326484
2022-01-07,153.619995,154.119995,151.240005,152.160004,147.953201,1215325
2022-01-10,152.080002,152.259995,147.179993,147.880005,143.791534,1305887
2022-01-11,148.720001,150.759995,148.520004,150.300003,146.144623,1286177
2022-01-12,152.000000,153.339996,151.259995,152.220001,148.011551,1008710
2022-01-13,152.259995,152.839996,149.720001,151.500000,147.311447,1252962
2022-01-14,149.820007,150.199997,145.600006,145.860001,141.827377,1778749
2022-01-17,147.119995,147.740005,145.779999,146.000000,141.963516,1229918
2022-01-18,145.500000,145.679993,142.460007,142.600006,138.657516,1669909
2022-01-19,141.800003,145.300003,141.020004,144.339996,140.349396,1395792
2022-01-20,144.759995,147.199997,143.699997,146.899994,142.838623,1225529
2022-01-21,146.000000,146.339996,142.839996,144.520004,140.524429,2280108
2022-01-24,143.039993,144.600006,136.559998,137.440002,133.640167,2251036
2022-01-25,139.259995,139.380005,136.179993,138.520004,134.690308,2152028
2022-01-26,139.800003,142.899994,139.500000,141.240005,137.335114,1638047
2022-01-27,137.820007,141.300003,137.419998,140.500000,136.615570,1765461
2022-01-28,139.679993,140.839996,136.839996,138.339996,134.515289,1796990
2022-01-31,139.960007,142.020004,138.979996,139.880005,136.012711,2021418
2022-02-01,141.179993,142.940002,140.940002,140.940002,137.043411,1438399
2022-02-02,141.740005,142.419998,140.520004,140.520004,136.635025,1235051
2022-02-03,139.580002,139.800003,136.679993,136.820007,133.037323,2365611
2022-02-04,137.500000,137.979996,132.839996,132.839996,129.167343,2608518
2022-02-07,134.059998,136.059998,133.279999,135.600006,131.851044,1461680
2022-02-08,136.380005,137.679993,135.860001,136.600006,132.823395,1494552
2022-02-09,136.860001,139.580002,136.720001,138.160004,134.340271,1644081
2022-02-10,148.000000,149.259995,144.559998,144.679993,140.679993,3748849
