Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,161.690002,162.940002,159.880005,162.899994,158.953888,9317300
2022-01-04,162.289993,164.389999,162.179993,163.470001,159.510101,9253800
2022-01-05,163.440002,165.320007,163.399994,164.210007,160.232162,9330200
2022-01-06,164.339996,165.199997,162.610001,162.830002,158.885620,7556000
2022-01-07,163.130005,163.529999,161.949997,162.740005,158.797791,6098500
2022-01-10,162.509995,163.119995,160.169998,160.520004,156.631546,8055000
2022-01-11,160.220001,160.220001,156.910004,158.660004,154.816620,11957900
2022-01-12,158.259995,159.360001,157.830002,159.009995,155.158142,7127500
2022-01-13,159.309998,159.449997,157.779999,158.289993,154.455566,6551000
2022-01-14,158.070007,160.490005,157.559998,159.809998,155.938751,10708000
2022-01-18,158.529999,158.529999,156.039993,156.729996,152.933365,10988400
2022-01-19,157.610001,164.190002,156.970001,162.000000,158.075714,14088300
2022-01-20,160.119995,164.330002,160.119995,162.000000,158.929214,10799100
2022-01-21,163.000000,165.350006,162.100006,162.619995,159.537476,10900400
2022-01-24,163.429993,164.119995,158.720001,161.300003,158.242493,14838100
2022-01-25,160.449997,161.300003,157.889999,159.539993,156.515854,9369600
2022-01-26,157.339996,159.570007,156.380005,158.149994,155.152191,10707100
2022-01-27,158.729996,161.350006,158.580002,159.130005,156.113632,9083000
2022-01-28,158.610001,160.949997,157.320007,160.500000,157.457672,9494200
2022-01-31,159.350006,160.649994,158.869995,160.449997,157.408615,8950100
2022-02-01,160.789993,161.300003,157.729996,159.740005,156.712082,6284100
2022-02-02,160.139999,162.839996,159.470001,162.600006,159.517853,7558800
2022-02-03,161.979996,164.979996,161.619995,164.139999,161.028671,10474500
2022-02-04,163.130005,164.490005,161.410004,161.529999,158.468124,8959900
2022-02-07,161.869995,162.259995,159.669998,160.320007,157.281067,6430500
2022-02-08,161.119995,161.270004,159.649994,159.960007,156.927887,5048700
2022-02-09,160.360001,160.639999,159.270004,159.600006,156.574707,8077400
2022-02-10,159.089996,159.500000,156.649994,157.169998,154.190765,7033000
2022-02-11,158.009995,158.580002,155.580002,156.289993,153.327454,9341400
2022-02-14,156.139999,157.059998,153.360001,156.740005,153.768936,9472200
2022-02-15,157.770004,159.320007,156.110001,156.820007,153.847412,6659200
2022-02-16,156.830002,158.779999,156.270004,158.009995,155.014862,9315700
2022-02-17,158.380005,160.380005,157.350006,159.820007,156.790558,7925500
2022-02-18,159.500000,161.059998,158.820007,159.899994,156.869019,8063200
2022-02-22,160.110001,160.880005,156.660004,157.929993,154.936356,8179500
2022-02-23,158.300003,158.600006,155.600006,155.960007,153.003708,6273000
2022-02-24,155.639999,155.979996,150.559998,151.759995,148.883316,13145100
2022-02-25,152.330002,158.940002,152.250000,158.240005,155.240494,8888800
